File Name,LineStrings
3166.json,"[[[183.0, 62.5], [74.0, 62.5]], [[183.0, 127.0], [183.0, 62.5]]]"
494.json,"[[[112.0, 147.0], [112.0, 193.0]], [[147.0, 127.5], [147.0, 56.0]]]"
4709.json,"[[[126.5, 131.0], [178.0, 131.0]]]"
3536.json,"[[[59.0, 129.0], [116.5, 129.0]]]"
4284.json,"[[[149.0, 99.5], [100.0, 99.5]], [[126.0, 143.5], [126.0, 212.0]]]"
3541.json,"[[[156.0, 107.0], [156.0, 55.0]], [[111.0, 149.0], [111.0, 193.0]]]"
549.json,[]
1086.json,"[[[183.0, 151.0], [183.0, 87.0]], [[126.0, 119.0], [126.0, 189.0]]]"
3111.json,"[[[173.0, 119.0], [173.0, 49.0]]]"
119.json,[]
2350.json,"[[[90.0, 132.0], [90.0, 204.0]], [[159.0, 204.0], [159.0, 149.0]]]"
41.json,"[[[118.0, 191.0], [181.0, 191.0]], [[181.5, 131.0], [128.0, 131.0]], [[181.5, 191.0], [181.5, 131.0]]]"
1985.json,"[[[100.0, 165.0], [100.0, 210.0]], [[151.0, 210.0], [151.0, 144.5]]]"
3812.json,"[[[134.0, 179.0], [134.0, 121.0]]]"
2700.json,"[[[119.0, 50.0], [119.0, 124.0]]]"
2215.json,[]
3957.json,"[[[124.0, 139.5], [124.0, 186.0]]]"
2645.json,"[[[165.0, 170.0], [165.0, 113.0]], [[107.0, 141.5], [107.0, 224.0]]]"
3404.json,"[[[155.0, 52.0], [110.0, 52.0]], [[110.0, 70.0], [110.0, 113.0]], [[133.0, 113.0], [133.0, 181.0]]]"
1439.json,"[[[140.0, 203.0], [140.0, 141.5]]]"
1593.json,"[[[125.0, 131.0], [125.0, 191.0]]]"
3054.json,"[[[121.0, 140.0], [121.0, 199.0]]]"
1069.json,"[[[98.0, 173.0], [158.0, 173.0]], [[109.0, 117.0], [38.0, 117.0]]]"
4791.json,"[[[127.0, 75.0], [69.0, 75.0]], [[162.5, 104.0], [162.5, 33.0]]]"
2096.json,"[[[99.0, 65.0], [99.0, 108.0]], [[121.0, 207.0], [121.0, 134.0]]]"
4841.json,"[[[122.0, 192.0], [122.0, 137.0]], [[121.5, 107.0], [121.5, 60.0]]]"
3687.json,"[[[192.0, 101.0], [114.0, 101.0]], [[143.0, 153.0], [192.0, 153.0]], [[97.0, 77.0], [97.0, 29.0]], [[67.0, 93.0], [67.0, 153.0]]]"
4142.json,"[[[128.5, 148.0], [128.5, 191.0]], [[186.0, 191.0], [186.0, 147.0]], [[186.0, 123.0], [186.0, 80.0]]]"
2995.json,"[[[161.0, 173.0], [161.0, 129.0]], [[101.0, 149.0], [101.0, 223.0]]]"
375.json,[]
1340.json,[]
4512.json,"[[[120.0, 147.0], [165.0, 147.0]], [[165.0, 80.0], [122.0, 80.0]]]"
725.json,"[[[127.5, 207.0], [127.5, 163.0]], [[126.0, 123.0], [126.0, 55.0]]]"
1710.json,"[[[105.5, 76.0], [105.5, 181.0]]]"
1205.json,"[[[143.0, 119.0], [189.0, 119.0]]]"
3238.json,"[[[168.0, 151.0], [168.0, 95.0]]]"
